name,url,image,takeout_price,eatin_price
"Trio Heart - Chocolate & Praline","https://www.misterdonut.jp/m_menu/donut/godiva_donut_26_06.html","/m_menu/donut/images/462/product_1.jpg","テイクアウト【税込】:￥669",""
"Truffle Chocolate Donut - Noir","https://www.misterdonut.jp/m_menu/donut/godiva_donut_26_01.html","/m_menu/donut/images/457/product_1.jpg","テイクアウト【税込】:￥345","イートイン【税込】:￥352"
"Truffle Chocolate Donut - Praline","https://www.misterdonut.jp/m_menu/donut/godiva_donut_26_02.html","/m_menu/donut/images/458/product_1.jpg","テイクアウト【税込】:￥345","Eat-in【Tax included】:￥352"
"Soft French Cruller - Chocolat Noir","https://www.misterdonut.jp/m_menu/donut/godiva_donut_26_03.html","/m_menu/donut/images/459/product_1.jpg","Takeout【Including tax】:￥270","Eat-in【Tax included】:￥275"
"Soft French Cruller - Chocolat Caramel Praliné","https://www.misterdonut.jp/m_menu/donut/godiva_donut_26_04.html","/m_menu/donut/images/460/product_1.jpg","Takeout【Including tax】:￥291","Eat-in【Tax included】:￥297"
"Chocolate Pie - Deux","https://www.misterdonut.jp/m_menu/donut/godiva_donut_26_05.html","/m_menu/donut/images/461/product_1.jpg","Takeout【Including tax】:￥367","Eat-in【Tax included】:￥374"
"Pon De Ring Chocolate","https://www.misterdonut.jp/m_menu/donut/pondechocolat_25_01.html","/m_menu/donut/images/445/product_1.jpg","Takeout【Including tax】:￥183","Eat-in【Tax included】:￥187"
"Pon De Ring Double Chocolate","https://www.misterdonut.jp/m_menu/donut/pondechocolat_25_02.html","/m_menu/donut/images/446/product_1.jpg","Takeout【Including tax】:￥194","Eat-in【Tax included】:￥198"
"Pon de Ring Rich Chocolate Custard","https://www.misterdonut.jp/m_menu/donut/pondechocolat_25_03.html","/m_menu/donut/images/447/product_1.jpg","Takeout【Including tax】:￥237","Eat-in【Tax included】:￥242"
"Pon De Ring Ganache Chocolate","https://www.misterdonut.jp/m_menu/donut/pondechocolat_25_04.html","/m_menu/donut/images/448/product_1.jpg","Takeout【Including tax】:￥237","Eat-in【Tax included】:￥242"
"Creamy Mushroom & Chicken Stew Pie","https://www.misterdonut.jp/m_menu/donut/pie25_04.html","/m_menu/donut/images/442/product_1.jpg","Takeout【Including tax】:￥259","Eat-in【Tax included】:￥264"
"Meat Sauce Lasagna-Style Pie","https://www.misterdonut.jp/m_menu/donut/pie25_05.html","/m_menu/donut/images/443/product_1.jpg","Takeout【Including tax】:￥259","Eat-in【Tax included】:￥264"
"Chunky Corn Cream Pie","https://www.misterdonut.jp/m_menu/donut/pie25_06.html","/m_menu/donut/images/444/product_1.jpg","Takeout【Including tax】:￥259","Eat-in【Tax included】:￥264"
"Thick Chocolate Fashion","https://www.misterdonut.jp/m_menu/donut/net_order_25_01.html","/m_menu/donut/images/428/product_1.jpg","Takeout【Including tax】:￥194",""
"Strawberry & Chocolate Fashion","https://www.misterdonut.jp/m_menu/donut/net_order_25_02.html","/m_menu/donut/images/429/product_1.jpg","Takeout【Including tax】:￥205",""
"Custard & Angel Cream","https://www.misterdonut.jp/m_menu/donut/net_order_25_03.html","/m_menu/donut/images/430/product_1.jpg","Takeout【Including tax】:￥194",""
"Double Cream French","https://www.misterdonut.jp/m_menu/donut/net_order_25_04.html","/m_menu/donut/images/431/product_1.jpg","Takeout【Including tax】:￥194",""
"Pon De Ring","https://www.misterdonut.jp/m_menu/donut/dpd01.html","/m_menu/donut/images/1/product_1.jpg","Takeout【Including tax】:￥172","Eat-in【Tax included】:￥176"
"Pon De Ring Brown Sugar","https://www.misterdonut.jp/m_menu/donut/dpd02.html","/m_menu/donut/images/2/product_1.jpg","Takeout【Including tax】:￥172","Eat-in【Tax included】:￥176"
"Pon De Ring Strawberry","https://www.misterdonut.jp/m_menu/donut/sberry14001.html","/m_menu/donut/images/3/product_1.jpg","Takeout【Including tax】:￥183","Eat-in【Tax included】:￥187"
"Old Fashion","https://www.misterdonut.jp/m_menu/donut/dof01.html","/m_menu/donut/images/4/product_1.jpg","Takeout【Including tax】:￥172","Eat-in【Tax included】:￥176"
"Chocolate Fashion","https://www.misterdonut.jp/m_menu/donut/dof02.html","/m_menu/donut/images/5/product_1.jpg","Takeout【Including tax】:￥183","Eat-in【Tax included】:￥187"
"Old Fashion Honey","https://www.misterdonut.jp/m_menu/donut/dof03.html","/m_menu/donut/images/6/product_1.jpg","Takeout【Including tax】:￥183","Eat-in【Tax included】:￥187"
"French Cruller","https://www.misterdonut.jp/m_menu/donut/dfr12001.html","/m_menu/donut/images/7/product_1.jpg","Takeout【Including tax】:￥172","Eat-in【Tax included】:￥176"
"Angel French","https://www.misterdonut.jp/m_menu/donut/dfr12002.html","/m_menu/donut/images/8/product_1.jpg","Takeout【Including tax】:￥183","Eat-in【Tax included】:￥187"
"Strawberry Custard French","https://www.misterdonut.jp/m_menu/donut/dfr12004.html","/m_menu/donut/images/9/product_1.jpg","Takeout【Including tax】:￥183","Eat-in【Tax included】:￥187"
"Honey Dip","https://www.misterdonut.jp/m_menu/donut/drr01.html","/m_menu/donut/images/10/product_1.jpg","Takeout【Including tax】:￥172","Eat-in【Tax included】:￥176"
"Sugar Raised","https://www.misterdonut.jp/m_menu/donut/drr02.html","/m_menu/donut/images/11/product_1.jpg","Takeout【Including tax】:￥172","Eat-in【Tax included】:￥176"
"Chocolate Ring","https://www.misterdonut.jp/m_menu/donut/drr03.html","/m_menu/donut/images/12/product_1.jpg","Takeout【Including tax】:￥183","Eat-in【Tax included】:￥187"
"Strawberry Ring","https://www.misterdonut.jp/m_menu/donut/drr04.html","/m_menu/donut/images/13/product_1.jpg","Takeout【Including tax】:￥183","Eat-in【Tax included】:￥187"
"Angel Cream","https://www.misterdonut.jp/m_menu/donut/drs12003.html","/m_menu/donut/images/14/product_1.jpg","Takeout【Including tax】:￥183","Eat-in【Tax included】:￥187"
"Custard Cream","https://www.misterdonut.jp/m_menu/donut/drs12001.html","/m_menu/donut/images/15/product_1.jpg","Takeout【Including tax】:￥183","Eat-in【Tax included】:￥187"
"Chocolate","https://www.misterdonut.jp/m_menu/donut/dch01.html","/m_menu/donut/images/16/product_1.jpg","Takeout【Including tax】:￥172","Eat-in【Tax included】:￥176"
"Double Chocolate","https://www.misterdonut.jp/m_menu/donut/dch04.html","/m_menu/donut/images/17/product_1.jpg","Takeout【Including tax】:￥183","Eat-in【Tax included】:￥187"
"Golden Chocolate","https://www.misterdonut.jp/m_menu/donut/dch02.html","/m_menu/donut/images/18/product_1.jpg","Takeout【Including tax】:￥183","Eat-in【Tax included】:￥187"
"Coconut Chocolate","https://www.misterdonut.jp/m_menu/donut/dch03.html","/m_menu/donut/images/19/product_1.jpg","Takeout【Including tax】:￥183","Eat-in【Tax included】:￥187"
"Honey Churro","https://www.misterdonut.jp/m_menu/donut/dvr01.html","/m_menu/donut/images/20/product_1.jpg","Takeout【Including tax】:￥172","Eat-in【Tax included】:￥176"
"Donut Pop Angel Cream Ball","https://www.misterdonut.jp/m_menu/donut/dvr16001_1.html","/m_menu/donut/images/21/product_1.jpg","Takeout【Including tax】:￥45","Eat-in【Tax included】:￥46"
"Donut Pop Pon De Ring Strawberry Ball","https://www.misterdonut.jp/m_menu/donut/dvr16001_2.html","/m_menu/donut/images/22/product_1.jpg","Takeout【Including tax】:￥45","Eat-in【Tax included】:￥46"
"Donut Pop Golden Chocolate Ball","https://www.misterdonut.jp/m_menu/donut/dvr16001_3.html","/m_menu/donut/images/23/product_1.jpg","Takeout【Including tax】:￥45","Eat-in【Tax included】:￥46"
"Donut Pop Coconut Chocolate Ball","https://www.misterdonut.jp/m_menu/donut/dvr16001_4.html","/m_menu/donut/images/24/product_1.jpg","Takeout【Including tax】:￥45","Eat-in【Tax included】:￥46"
"Donut Pop Old Fashion Ball","https://www.misterdonut.jp/m_menu/donut/dvr16001_5.html","/m_menu/donut/images/25/product_1.jpg","Takeout【Including tax】:￥45","Eat-in【Tax included】:￥46"
"Donut Pop Chocolate Fashion Ball","https://www.misterdonut.jp/m_menu/donut/dvr16001_6.html","/m_menu/donut/images/26/product_1.png","Takeout【Including tax】:￥45","Eat-in【Tax included】:￥46"
"Donut Pop (8 pcs)","https://www.misterdonut.jp/m_menu/donut/dvr16002.html","/m_menu/donut/images/27/product_1.jpg","Takeout【Including tax】:￥313","Eat-in【Tax included】:￥319"
"Donut Pop (16 pcs)","https://www.misterdonut.jp/m_menu/donut/dvr16003.html","/m_menu/donut/images/28/product_1.jpg","Takeout【Including tax】:￥596","Eat-in【Tax included】:￥607"
"Donut Pop (24 pcs)","https://www.misterdonut.jp/m_menu/donut/dvr16004.html","/m_menu/donut/images/29/product_1.jpg","Takeout【Including tax】:￥879","Eat-in【Tax included】:￥895"
"Chewy Fruit Stick Honey","https://www.misterdonut.jp/m_menu/donut/fruitsstick19001.html","/m_menu/donut/images/30/product_1.jpg","Takeout【Including tax】:￥172","Eat-in【Tax included】:￥176"
"Chewy Fruit Stick Cinnamon","https://www.misterdonut.jp/m_menu/donut/fruitsstick19002.html","/m_menu/donut/images/31/product_1.jpg","Takeout【Including tax】:￥172","Eat-in【Tax included】:￥176"
"Shrimp Gratin Pie","https://www.misterdonut.jp/m_menu/donut/pie21001.html","/m_menu/donut/images/32/product_1.jpg","Takeout【Including tax】:￥248","Eat-in【Tax included】:￥253"
"Hot & Savory Pie BBQ Frankfurter","https://www.misterdonut.jp/m_menu/donut/hsp18001.html","/m_menu/donut/images/33/product_1.jpg","Takeout【Including tax】:￥248","Eat-in【Tax included】:￥253"
"Hot & Sweet Pie Apple","https://www.misterdonut.jp/m_menu/donut/hswp18001.html","/m_menu/donut/images/34/product_1.jpg","Takeout【Including tax】:￥248","Eat-in【Tax included】:￥253"
"Moist Muffin - Butter Flavor","https://www.misterdonut.jp/m_menu/donut/cim21004.html","/m_menu/donut/images/162/product_1.jpg","Takeout【Including tax】:￥248","Eat-in【Tax included】:￥253"
"Moist Muffin - Chocolate","https://www.misterdonut.jp/m_menu/donut/cim21005.html","/m_menu/donut/images/163/product_1.jpg","Takeout【Including tax】:￥248","Eat-in【Tax included】:￥253"
"Soft Baked Donut - Plain [Mini-size] 2 donut pack","https://www.misterdonut.jp/m_menu/donut/yakido15001.html","/m_menu/donut/images/37/product_1.png","Takeout【Including tax】:￥442","Eat-in【Tax included】:￥451"